source_id,label,spatial_group,split
186.0,1,33_35,train
189.0,1,33_35,train
190.0,1,33_35,train
193.0,1,33_35,train
194.0,1,33_35,train
204.0,1,33_35,train
206.0,1,33_35,train
208.0,1,33_35,train
218.0,1,33_36,spatial_holdout
219.0,1,33_36,spatial_holdout
220.0,1,33_36,spatial_holdout
221.0,1,33_36,spatial_holdout
222.0,1,33_36,spatial_holdout
223.0,1,33_36,spatial_holdout
209.0,1,33_36,spatial_holdout
210.0,1,33_36,spatial_holdout
211.0,1,33_36,spatial_holdout
212.0,1,33_36,spatial_holdout
213.0,1,33_36,spatial_holdout
214.0,1,33_36,spatial_holdout
215.0,1,33_36,spatial_holdout
216.0,1,33_36,spatial_holdout
217.0,1,33_36,spatial_holdout
225.0,1,33_36,spatial_holdout
226.0,1,33_36,spatial_holdout
227.0,1,33_36,spatial_holdout
228.0,1,33_36,spatial_holdout
229.0,1,33_36,spatial_holdout
230.0,1,33_36,spatial_holdout
232.0,1,33_36,spatial_holdout
233.0,1,33_36,spatial_holdout
234.0,1,33_36,spatial_holdout
235.0,1,33_36,spatial_holdout
236.0,1,33_36,spatial_holdout
237.0,1,33_36,spatial_holdout
238.0,1,33_36,spatial_holdout
239.0,1,33_36,spatial_holdout
240.0,1,33_36,spatial_holdout
241.0,1,33_36,spatial_holdout
242.0,1,33_36,spatial_holdout
243.0,1,34_38,train
244.0,1,34_38,train
245.0,1,34_38,train
246.0,1,34_38,train
247.0,1,34_38,train
248.0,1,34_38,train
249.0,1,34_38,train
250.0,1,34_38,train
251.0,1,34_38,train
252.0,1,34_38,train
253.0,1,34_38,train
254.0,1,34_38,train
255.0,1,34_38,train
258.0,1,34_37,train
259.0,1,34_37,train
260.0,1,34_37,train
261.0,1,34_37,train
262.0,1,34_37,train
263.0,1,34_37,train
264.0,1,34_37,train
265.0,1,34_37,train
266.0,1,34_37,train
267.0,1,34_37,train
268.0,1,34_37,train
269.0,1,34_37,train
270.0,1,34_37,train
271.0,1,34_38,train
272.0,1,34_38,train
273.0,1,34_38,train
274.0,1,34_38,train
275.0,1,34_38,train
276.0,1,34_38,train
277.0,1,34_38,train
278.0,1,34_38,train
279.0,1,34_38,train
280.0,1,34_38,train
281.0,1,34_38,train
282.0,1,34_38,train
283.0,1,34_38,train
284.0,1,34_38,train
285.0,1,34_38,train
286.0,1,34_38,train
287.0,1,34_38,train
288.0,1,34_38,train
289.0,1,34_38,train
298.0,1,34_38,train
299.0,1,34_38,train
256.0,1,34_38,train
257.0,1,34_38,train
290.0,1,34_38,train
291.0,1,34_38,train
292.0,1,34_38,train
293.0,1,34_38,train
294.0,1,34_38,train
295.0,1,34_38,train
296.0,1,34_38,train
297.0,1,34_38,train
300.0,1,34_38,train
301.0,1,34_38,train
302.0,1,34_38,train
303.0,1,34_38,train
304.0,1,34_38,train
305.0,1,34_38,train
306.0,1,34_38,train
307.0,1,34_38,train
308.0,1,34_38,train
309.0,1,34_38,train
,0,33_39,train
,0,40_31,train
,0,32_35,train
,0,39_40,train
,0,34_36,spatial_holdout
,0,34_35,train
,0,32_35,train
,0,39_41,train
,0,29_40,spatial_holdout
,0,31_35,train
,0,38_41,spatial_holdout
,0,34_40,train
,0,29_41,train
,0,32_37,spatial_holdout
,0,32_40,train
,0,33_36,spatial_holdout
,0,38_41,spatial_holdout
,0,36_41,train
,0,31_36,spatial_holdout
,0,25_40,train
,0,32_36,train
,0,31_38,spatial_holdout
,0,35_41,spatial_holdout
,0,28_41,spatial_holdout
,0,37_39,train
,0,25_40,train
,0,29_34,train
,0,30_38,train
,0,40_37,spatial_holdout
,0,27_40,spatial_holdout
,0,31_40,train
,0,32_35,train
,0,35_41,spatial_holdout
,0,26_35,spatial_holdout
,0,37_40,train
,0,34_35,train
,0,36_40,train
,0,34_35,train
,0,32_38,train
,0,32_36,train
,0,33_37,train
,0,30_38,train
,0,39_40,train
,0,40_31,train
,0,31_41,train
,0,37_41,train
,0,33_41,train
,0,38_40,train
,0,37_40,train
,0,40_30,train
,0,40_38,train
,0,32_38,train
,0,29_40,spatial_holdout
,0,30_37,train
,0,40_38,train
,0,40_36,train
,0,30_36,train
,0,32_36,train
,0,31_41,train
,0,31_39,train
,0,38_40,train
,0,36_41,train
,0,36_41,train
,0,27_41,spatial_holdout
,0,27_40,spatial_holdout
,0,33_37,train
,0,32_38,train
,0,28_34,spatial_holdout
,0,32_39,train
,0,32_38,train
,0,36_41,train
,0,33_36,spatial_holdout
,0,30_37,train
,0,27_41,spatial_holdout
,0,28_41,spatial_holdout
,0,25_40,train
,0,26_42,spatial_holdout
,0,38_39,train
,0,40_30,train
,0,29_41,train
,0,29_34,train
,0,30_41,train
,0,35_34,spatial_holdout
,0,34_37,train
,0,31_37,spatial_holdout
,0,39_40,train
,0,27_40,spatial_holdout
,0,40_33,train
,0,33_37,train
,0,40_32,train
,0,39_41,train
,0,29_35,spatial_holdout
,0,40_39,train
,0,32_35,train
,0,28_36,train
,0,34_41,spatial_holdout
,0,31_40,train
,0,30_37,train
,0,34_36,spatial_holdout
,0,35_40,train
,0,25_42,train
,0,25_41,train
,0,35_40,train
,0,38_39,train
,0,26_34,train
,0,33_37,train
,0,31_38,spatial_holdout
,0,32_41,train
,0,30_37,train
,0,28_41,spatial_holdout
,0,35_38,train
,0,27_40,spatial_holdout
,0,31_40,train
,0,29_41,train
,0,33_41,train
,0,34_39,train
,0,40_39,train
,0,38_41,spatial_holdout
,0,35_40,train
,0,40_37,spatial_holdout
,0,31_41,train
,0,30_39,train
,0,39_42,train
,0,29_35,spatial_holdout
,0,35_38,train
,0,35_39,train
,0,25_42,train
,0,32_40,train
,0,38_40,train
,0,29_35,spatial_holdout
,0,27_35,train
,0,40_40,train
,0,35_39,train
,0,31_40,train
,0,34_36,spatial_holdout
,0,35_38,train
,0,30_40,train
,0,27_34,train
